id,name,price,expense,category,description,supplier,inStock,lastUpdated
PRD001,Business Laptop Pro,1299.99,899.99,Electronics,High-performance laptop for business use,TechCorp Inc,45,2024-01-15
PRD002,Office Chair Deluxe,459.99,289.99,Furniture,Ergonomic office chair with lumbar support,FurniMax Ltd,23,2024-01-14
PRD003,Project Management Software,89.99,29.99,Software,Annual license for project management tool,SoftSolutions,999,2024-01-13
PRD004,Wireless Printer,329.99,199.99,Electronics,Multi-function wireless printer,PrintTech,67,2024-01-12
PRD005,Standing Desk,699.99,449.99,Furniture,Height-adjustable standing desk,ErgoDesk Co,12,2024-01-11
PRD006,Security Camera System,899.99,599.99,Security,8-camera security system with DVR,SecureTech,8,2024-01-10
PRD007,Conference Phone,249.99,149.99,Communications,HD conference speakerphone,CommTech,34,2024-01-09
PRD008,Backup Drive 2TB,159.99,89.99,Storage,External backup drive for data storage,DataSafe,156,2024-01-08
PRD009,Whiteboard Large,199.99,119.99,Office Supplies,Large magnetic whiteboard,OfficeMax,28,2024-01-07
PRD010,Coffee Machine,399.99,249.99,Appliances,Commercial coffee machine for office,BrewMaster,15,2024-01-06
PRD011,Tablet Pro 12,799.99,549.99,Electronics,Professional tablet with stylus,TabletCorp,89,2024-01-05
PRD012,Desk Organizer Set,49.99,24.99,Office Supplies,Complete desk organization system,OrganizePro,234,2024-01-04
PRD013,Monitor 27 4K,549.99,349.99,Electronics,27-inch 4K professional monitor,DisplayTech,76,2024-01-03
PRD014,Shredder Heavy Duty,299.99,179.99,Office Equipment,Heavy-duty document shredder,ShredMax,19,2024-01-02
PRD015,Webcam HD Pro,129.99,79.99,Electronics,Professional HD webcam for meetings,CamTech,145,2024-01-01
PRD016,Keyboard Mechanical,149.99,89.99,Electronics,Mechanical keyboard for professionals,KeyCorp,98,2023-12-31
PRD017,Mouse Wireless Pro,79.99,49.99,Electronics,Precision wireless mouse,MouseTech,187,2023-12-30
PRD018,Headset Noise Cancel,199.99,129.99,Electronics,Noise-canceling headset for calls,AudioPro,67,2023-12-29
PRD019,Desk Lamp LED,89.99,54.99,Lighting,Adjustable LED desk lamp,LightCorp,123,2023-12-28
PRD020,File Cabinet 4-Drawer,349.99,219.99,Furniture,Locking 4-drawer file cabinet,FilePro,34,2023-12-27